,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MA5,BIAS6,OBV,PSY12,SY,ASY(5),ASY(4),ASY(3),ASY(2),ASY(1),CI(3),CI(2),CI(1)
41,2019-06-18,9.710000038146973,9.710000038146973,9.710000038146973,9.710000038146973,550000,0,0,9.8100004196167,-9.898100574430925,-550200.0,0.0,-1.024603011979286,0.0,0.0,0.0,0.0,0.0,9.8100004196167,9.8100004196167,9.8100004196167
42,2019-06-19,9.720000267028807,9.720000267028807,9.710000038146973,9.720000267028807,675000,0,0,9.790000343322754,-7.278429464004252,124800.0,0.0,0.10293597125858867,-0.2049206023958572,-0.2561507529948215,-0.3415343373264286,-0.512301505989643,-1.024603011979286,9.8100004196167,9.8100004196167,9.710000038146973
43,2019-06-20,9.75,9.75,9.720000267028807,9.720000267028807,631300,0,0,9.772000312805176,-5.798540457343979,-506500.0,8.333333333333332,0.0,-0.18433340814413945,-0.23041676018017432,-0.3072223469068991,-0.46083352036034864,0.10293597125858867,9.8100004196167,9.710000038146973,9.720000267028807
44,2019-06-21,9.729999542236328,9.729999542236328,9.720000267028807,9.720000267028807,300000,0,0,9.754000282287597,-4.314104156991341,-806500.0,8.333333333333332,0.0,-0.18433340814413945,-0.23041676018017432,-0.3072223469068991,0.05146798562929433,0.0,9.710000038146973,9.720000267028807,9.720000267028807
45,2019-06-24,9.720000267028807,9.720000267028807,9.720000267028807,9.720000267028807,14900,0,0,9.736000251770019,-2.825099571813604,-821400.0,8.333333333333332,0.0,-0.18433340814413945,-0.23041676018017432,0.03431199041952956,0.0,0.0,9.720000267028807,9.720000267028807,9.720000267028807
46,2019-06-25,9.720000267028807,9.720000267028807,9.720000267028807,9.720000267028807,0,0,0,9.71800022125244,-1.331505581280776,-821400.0,8.333333333333332,0.0,-0.18433340814413945,0.025733992814647166,0.0,0.0,0.0,9.720000267028807,9.720000267028807,9.720000267028807
47,2019-06-26,9.720000267028807,9.720000267028807,9.720000267028807,9.720000267028807,0,0,0,9.720000267028807,0.16669906553335054,-821400.0,8.333333333333332,0.0,0.020587194251717733,0.0,0.0,0.0,0.0,9.720000267028807,9.720000267028807,9.720000267028807
48,2019-06-27,9.720000267028807,9.720000267028807,9.720000267028807,9.720000267028807,0,0,0,9.720000267028807,0.0,-821400.0,8.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,9.720000267028807,9.720000267028807,9.720000267028807
49,2019-06-28,9.720000267028807,9.720000267028807,9.720000267028807,9.720000267028807,0,0,0,9.720000267028807,0.0,-821400.0,8.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,9.720000267028807,9.720000267028807,9.720000267028807
50,2019-07-01,9.720000267028807,9.720000267028807,9.720000267028807,9.720000267028807,0,0,0,9.720000267028807,0.0,-821400.0,8.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,9.720000267028807,9.720000267028807,9.720000267028807
51,2019-07-02,9.720000267028807,9.720000267028807,9.720000267028807,9.720000267028807,0,0,0,9.720000267028807,0.0,-821400.0,8.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,9.720000267028807,9.720000267028807,9.720000267028807
52,2019-07-03,9.720000267028807,9.720000267028807,9.720000267028807,9.720000267028807,0,0,0,9.720000267028807,0.0,-821400.0,8.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,9.720000267028807,9.720000267028807,9.720000267028807
53,2019-07-05,9.720000267028807,9.720000267028807,9.720000267028807,9.720000267028807,0,0,0,9.720000267028807,0.0,-821400.0,8.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,9.720000267028807,9.720000267028807,9.720000267028807
54,2019-07-08,9.720000267028807,9.720000267028807,9.720000267028807,9.720000267028807,0,0,0,9.720000267028807,0.0,-821400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.720000267028807,9.720000267028807,9.720000267028807
55,2019-07-09,9.720000267028807,9.720000267028807,9.720000267028807,9.720000267028807,0,0,0,9.720000267028807,0.0,-821400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.720000267028807,9.720000267028807,9.720000267028807
56,2019-07-10,9.720000267028807,9.720000267028807,9.720000267028807,9.720000267028807,0,0,0,9.720000267028807,0.0,-821400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.720000267028807,9.720000267028807,9.720000267028807
57,2019-07-11,9.720000267028807,9.720000267028807,9.720000267028807,9.720000267028807,0,0,0,9.720000267028807,0.0,-821400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.720000267028807,9.720000267028807,9.720000267028807
58,2019-07-12,9.720000267028807,9.720000267028807,9.720000267028807,9.720000267028807,0,0,0,9.720000267028807,0.0,-821400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.720000267028807,9.720000267028807,9.720000267028807
59,2019-07-15,9.720000267028807,9.720000267028807,9.720000267028807,9.720000267028807,0,0,0,9.720000267028807,0.0,-821400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.720000267028807,9.720000267028807,9.720000267028807
60,2019-07-16,9.75,10.449999809265137,9.75,9.770000457763672,11200,0,0,9.720000267028807,5.025739433618626,-810200.0,0.0,0.5130866964252689,0.0,0.0,0.0,0.0,0.0,9.720000267028807,9.720000267028807,9.720000267028807
61,2019-07-17,9.770000457763672,9.770000457763672,9.770000457763672,9.770000457763672,0,0,0,9.730000305175782,4.184528622262676,-810200.0,8.333333333333332,0.0,0.10261733928505379,0.12827167410631723,0.17102889880842298,0.25654334821263447,0.5130866964252689,9.720000267028807,9.720000267028807,9.770000457763672
62,2019-07-18,9.770000457763672,9.770000457763672,9.770000457763672,9.770000457763672,0,0,0,9.740000343322754,3.3447577526933703,-810200.0,8.333333333333332,0.0,0.10261733928505379,0.12827167410631723,0.17102889880842298,0.25654334821263447,0.0,9.720000267028807,9.770000457763672,9.770000457763672
63,2019-07-19,9.770000457763672,9.770000457763672,9.770000457763672,9.770000457763672,0,0,0,9.750000381469727,2.506423130844119,-810200.0,8.333333333333332,0.0,0.10261733928505379,0.12827167410631723,0.17102889880842298,0.0,0.0,9.770000457763672,9.770000457763672,9.770000457763672
64,2019-07-22,9.770000457763672,9.770000457763672,9.770000457763672,9.770000457763672,0,0,0,9.760000419616699,1.669521075272995,-810200.0,8.333333333333332,0.0,0.10261733928505379,0.12827167410631723,0.0,0.0,0.0,9.770000457763672,9.770000457763672,9.770000457763672
65,2019-07-23,9.770000457763672,9.770000457763672,9.770000457763672,9.770000457763672,0,0,0,9.770000457763672,0.8340479171092032,-810200.0,8.333333333333332,0.0,0.10261733928505379,0.0,0.0,0.0,0.0,9.770000457763672,9.770000457763672,9.770000457763672
66,2019-07-24,9.770000457763672,9.770000457763672,9.770000457763672,9.770000457763672,0,0,0,9.770000457763672,0.0,-810200.0,8.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,9.770000457763672,9.770000457763672,9.770000457763672
67,2019-07-25,9.770000457763672,9.770000457763672,9.770000457763672,9.770000457763672,0,0,0,9.770000457763672,0.0,-810200.0,8.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,9.770000457763672,9.770000457763672,9.770000457763672
68,2019-07-26,9.770000457763672,9.770000457763672,9.770000457763672,9.770000457763672,0,0,0,9.770000457763672,0.0,-810200.0,8.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,9.770000457763672,9.770000457763672,9.770000457763672
69,2019-07-29,9.770000457763672,9.770000457763672,9.770000457763672,9.770000457763672,0,0,0,9.770000457763672,0.0,-810200.0,8.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,9.770000457763672,9.770000457763672,9.770000457763672
70,2019-07-30,9.770000457763672,9.770000457763672,9.770000457763672,9.770000457763672,0,0,0,9.770000457763672,0.0,-810200.0,8.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,9.770000457763672,9.770000457763672,9.770000457763672
71,2019-07-31,9.770000457763672,9.770000457763672,9.770000457763672,9.770000457763672,0,0,0,9.770000457763672,0.0,-810200.0,8.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,9.770000457763672,9.770000457763672,9.770000457763672
72,2019-08-01,9.770000457763672,9.770000457763672,9.770000457763672,9.770000457763672,0,0,0,9.770000457763672,0.0,-810200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.770000457763672,9.770000457763672,9.770000457763672
73,2019-08-02,9.710000038146973,9.81999969482422,9.710000038146973,9.81999969482422,400,0,0,9.770000457763672,5.0255114602975,-809800.0,0.0,0.51045783807111,0.0,0.0,0.0,0.0,0.0,9.770000457763672,9.770000457763672,9.770000457763672
74,2019-08-05,9.81999969482422,9.81999969482422,9.81999969482422,9.81999969482422,0,0,0,9.780000305175781,4.184357218983269,-809800.0,8.333333333333332,0.0,0.102091567614222,0.1276144595177775,0.17015261269037,0.255228919035555,0.51045783807111,9.770000457763672,9.770000457763672,9.81999969482422
75,2019-08-06,9.81999969482422,9.81999969482422,9.81999969482422,9.81999969482422,0,0,0,9.79000015258789,3.3446354391622823,-809800.0,8.333333333333332,0.0,0.102091567614222,0.1276144595177775,0.17015261269037,0.255228919035555,0.0,9.770000457763672,9.81999969482422,9.81999969482422
76,2019-08-07,9.78499984741211,9.789999961853027,9.779999732971193,9.779999732971193,1975000,0,0,9.8,-1.4977371367874084,-2784800.0,8.333333333333332,-0.4081634546244217,0.102091567614222,0.1276144595177775,0.17015261269037,0.0,0.0,9.81999969482422,9.81999969482422,9.81999969482422
77,2019-08-08,9.779999732971193,9.789999961853027,9.779999732971193,9.779999732971193,125200,0,0,9.801999855041505,-1.6638534117871226,-2910000.0,8.333333333333332,0.0,0.020458876689337657,0.02557359586167207,-0.13605448487480723,-0.20408172731221086,-0.4081634546244217,9.81999969482422,9.81999969482422,9.779999732971193
78,2019-08-09,9.779999732971193,9.789999961853027,9.779999732971193,9.779999732971193,125200,0,0,9.803999710083009,-1.829913179136618,-3035200.0,8.333333333333332,0.0,0.020458876689337657,-0.10204086365610543,-0.13605448487480723,-0.20408172731221086,0.0,9.81999969482422,9.779999732971193,9.779999732971193
79,2019-08-12,9.779999732971193,9.789999961853027,9.779999732971193,9.779999732971193,125200,0,0,9.795999717712403,-1.995916467664239,-3160400.0,8.333333333333332,0.0,-0.08163269092488434,-0.10204086365610543,-0.13605448487480723,0.0,0.0,9.779999732971193,9.779999732971193,9.779999732971193
80,2019-08-13,9.779999732971193,9.779999732971193,9.779999732971193,9.779999732971193,125200,0,0,9.787999725341798,-1.3315167713274294,-3285600.0,8.333333333333332,0.0,-0.08163269092488434,-0.10204086365610543,0.0,0.0,0.0,9.779999732971193,9.779999732971193,9.779999732971193
81,2019-08-14,9.779999732971193,9.779999732971193,9.779999732971193,9.779999732971193,0,0,0,9.779999732971193,-0.6662118991305707,-3285600.0,8.333333333333332,0.0,-0.08163269092488434,0.0,0.0,0.0,0.0,9.779999732971193,9.779999732971193,9.779999732971193
82,2019-08-15,9.779999732971193,9.779999732971193,9.779999732971193,9.779999732971193,0,0,0,9.779999732971193,0.0,-3285600.0,8.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,9.779999732971193,9.779999732971193,9.779999732971193
83,2019-08-16,9.779999732971193,9.779999732971193,9.779999732971193,9.779999732971193,0,0,0,9.779999732971193,0.0,-3285600.0,8.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,9.779999732971193,9.779999732971193,9.779999732971193
84,2019-08-19,9.789999961853027,9.789999961853027,9.789999961853027,9.789999961853027,350000,0,0,9.779999732971193,1.0010454299054974,-2935600.0,8.333333333333332,0.10219959027280012,0.0,0.0,0.0,0.0,0.0,9.779999732971193,9.779999732971193,9.779999732971193
85,2019-08-20,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,1000,0,0,9.781999778747558,11.976471000013591,-2934600.0,8.333333333333332,1.1173265962353351,0.020439918054560025,0.02554989756820003,0.034066530090933377,0.05109979513640006,0.10219959027280012,9.779999732971193,9.779999732971193,9.789999961853027
86,2019-08-21,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,0,0,0,9.805999755859375,9.931970739565868,-2934600.0,16.666666666666664,0.0,0.24390523730162705,0.3048815466270338,0.4065087288360451,0.6097630932540676,1.1173265962353351,9.779999732971193,9.789999961853027,9.899999618530273
87,2019-08-22,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,0,0,0,9.829999732971192,7.8957969615192845,-2934600.0,16.666666666666664,0.0,0.24390523730162705,0.3048815466270338,0.4065087288360451,0.5586632981176676,0.0,9.789999961853027,9.899999618530273,9.899999618530273
88,2019-08-23,9.800000190734863,9.899999618530273,9.800000190734863,9.899999618530273,200,0,0,9.853999710083007,5.867898903284624,-2934800.0,16.666666666666664,0.0,0.24390523730162705,0.3048815466270338,0.3724421987451117,0.0,0.0,9.899999618530273,9.899999618530273,9.899999618530273
89,2019-08-26,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,0,0,0,9.877999687194825,3.8482262140695416,-2934800.0,16.666666666666664,0.0,0.24390523730162705,0.2793316490588338,0.0,0.0,0.0,9.899999618530273,9.899999618530273,9.899999618530273
90,2019-08-27,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,0,0,0,9.899999618530273,1.836728950711273,-2934800.0,16.666666666666664,0.0,0.22346531924706703,0.0,0.0,0.0,0.0,9.899999618530273,9.899999618530273,9.899999618530273
91,2019-08-28,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,0,0,0,9.899999618530273,0.0,-2934800.0,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,9.899999618530273,9.899999618530273,9.899999618530273
92,2019-08-29,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,0,0,0,9.899999618530273,0.0,-2934800.0,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,9.899999618530273,9.899999618530273,9.899999618530273
93,2019-08-30,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,0,0,0,9.899999618530273,0.0,-2934800.0,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,9.899999618530273,9.899999618530273,9.899999618530273
94,2019-09-03,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,0,0,0,9.899999618530273,0.0,-2934800.0,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,9.899999618530273,9.899999618530273,9.899999618530273
95,2019-09-04,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,0,0,0,9.899999618530273,0.0,-2934800.0,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,9.899999618530273,9.899999618530273,9.899999618530273
96,2019-09-05,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,0,0,0,9.899999618530273,0.0,-2934800.0,8.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,9.899999618530273,9.899999618530273,9.899999618530273
97,2019-09-06,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,0,0,0,9.899999618530273,0.0,-2934800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.899999618530273,9.899999618530273,9.899999618530273
98,2019-09-09,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,0,0,0,9.899999618530273,0.0,-2934800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.899999618530273,9.899999618530273,9.899999618530273
99,2019-09-10,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,0,0,0,9.899999618530273,0.0,-2934800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.899999618530273,9.899999618530273,9.899999618530273
100,2019-09-11,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,0,0,0,9.899999618530273,0.0,-2934800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.899999618530273,9.899999618530273,9.899999618530273
101,2019-09-12,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,0,0,0,9.899999618530273,0.0,-2934800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.899999618530273,9.899999618530273,9.899999618530273
102,2019-09-13,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,0,0,0,9.899999618530273,0.0,-2934800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.899999618530273,9.899999618530273,9.899999618530273
103,2019-09-16,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,0,0,0,9.899999618530273,0.0,-2934800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.899999618530273,9.899999618530273,9.899999618530273
104,2019-09-17,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,0,0,0,9.899999618530273,0.0,-2934800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.899999618530273,9.899999618530273,9.899999618530273
105,2019-09-18,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,0,0,0,9.899999618530273,0.0,-2934800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.899999618530273,9.899999618530273,9.899999618530273
